Country;ISO3 Code;Date;Price (EUR/MWhe)
Austria;AUT;7/3/2016;29,44
Austria;AUT;8/3/2016;28,42
Austria;AUT;9/3/2016;25,58
Austria;AUT;10/3/2016;26,25
Austria;AUT;11/3/2016;28,21
Austria;AUT;12/3/2016;27,71
Austria;AUT;13/3/2016;22,75
Austria;AUT;14/3/2016;27,4
Austria;AUT;15/3/2016;27,15
Austria;AUT;16/3/2016;25,49
Austria;AUT;17/3/2016;27,52
Austria;AUT;18/3/2016;25,37
Austria;AUT;19/3/2016;24,31
Austria;AUT;20/3/2016;18,01
Austria;AUT;21/3/2016;25,28
Austria;AUT;22/3/2016;28,47
Austria;AUT;23/3/2016;26,47
Austria;AUT;24/3/2016;27,86
Austria;AUT;25/3/2016;25,63
Austria;AUT;26/3/2016;19,23
Austria;AUT;27/3/2016;10,55
Austria;AUT;28/3/2016;1,5
Austria;AUT;29/3/2016;23,16
Austria;AUT;30/3/2016;27,14
Austria;AUT;31/3/2016;27,81
Austria;AUT;1/4/2016;27,63
Austria;AUT;2/4/2016;21,27
Austria;AUT;3/4/2016;17,81
Austria;AUT;4/4/2016;27,21
Austria;AUT;5/4/2016;26,75
Austria;AUT;6/4/2016;22,34
Austria;AUT;7/4/2016;23,35
Austria;AUT;8/4/2016;28,66
Austria;AUT;9/4/2016;23,66
Austria;AUT;10/4/2016;18,84
Austria;AUT;11/4/2016;24,22
Austria;AUT;12/4/2016;28,34
Austria;AUT;13/4/2016;28,57
Austria;AUT;14/4/2016;26,66
Austria;AUT;15/4/2016;25,14
Austria;AUT;16/4/2016;18,73
Austria;AUT;17/4/2016;18,71
Austria;AUT;18/4/2016;23,77
Austria;AUT;19/4/2016;20,54
Austria;AUT;20/4/2016;24,12
Austria;AUT;21/4/2016;26,57
Austria;AUT;22/4/2016;26,06
Austria;AUT;23/4/2016;21,9
Austria;AUT;24/4/2016;16
Austria;AUT;25/4/2016;26,43
Austria;AUT;26/4/2016;27,11
Austria;AUT;27/4/2016;26,13
Austria;AUT;28/4/2016;30,1
Austria;AUT;29/4/2016;25,53
Austria;AUT;30/4/2016;24,17
Austria;AUT;1/5/2016;18,71
Austria;AUT;2/5/2016;28,02
Austria;AUT;3/5/2016;28,22
Austria;AUT;4/5/2016;27,39
Austria;AUT;5/5/2016;19,21
Austria;AUT;6/5/2016;22,4
Austria;AUT;7/5/2016;14,25
Austria;AUT;8/5/2016;-12,78
Austria;AUT;9/5/2016;22,26
Austria;AUT;10/5/2016;27,01
Austria;AUT;11/5/2016;24,84
Austria;AUT;12/5/2016;25,6
Austria;AUT;13/5/2016;26,63
Austria;AUT;14/5/2016;13,1
Austria;AUT;15/5/2016;7,47
Austria;AUT;16/5/2016;21,59
Austria;AUT;17/5/2016;30,1
Austria;AUT;18/5/2016;30,57
Austria;AUT;19/5/2016;33,37
Austria;AUT;20/5/2016;27,65
Austria;AUT;21/5/2016;21
Austria;AUT;22/5/2016;6,29
Austria;AUT;23/5/2016;29,24
Austria;AUT;24/5/2016;29,49
Austria;AUT;25/5/2016;30,7
Austria;AUT;26/5/2016;27,46
Austria;AUT;27/5/2016;28,9
Austria;AUT;28/5/2016;22,79
Austria;AUT;29/5/2016;13,51
Austria;AUT;30/5/2016;25,17
Austria;AUT;31/5/2016;28,92
Austria;AUT;1/6/2016;30,33
Austria;AUT;2/6/2016;28,9
Austria;AUT;3/6/2016;29,13
Austria;AUT;4/6/2016;25,13
Austria;AUT;5/6/2016;20,36
Austria;AUT;6/6/2016;30,55
Austria;AUT;7/6/2016;29,19
Austria;AUT;8/6/2016;28,9
Austria;AUT;9/6/2016;30,66
Austria;AUT;10/6/2016;26,4
Austria;AUT;11/6/2016;26
Austria;AUT;12/6/2016;22,4
Austria;AUT;13/6/2016;29,58
Austria;AUT;14/6/2016;30,31
Austria;AUT;15/6/2016;30,61
Austria;AUT;16/6/2016;30,48
Austria;AUT;17/6/2016;27,87
Austria;AUT;18/6/2016;21,58
Austria;AUT;19/6/2016;17,85
Austria;AUT;20/6/2016;27
Austria;AUT;21/6/2016;33,31
Austria;AUT;22/6/2016;32,48
Austria;AUT;23/6/2016;29,28
Austria;AUT;24/6/2016;30,94
Austria;AUT;25/6/2016;26,77
Austria;AUT;26/6/2016;16,96
Austria;AUT;27/6/2016;28,03
Austria;AUT;28/6/2016;32,87
Austria;AUT;29/6/2016;27,42
Austria;AUT;30/6/2016;29,86
Austria;AUT;1/7/2016;26,62
Austria;AUT;2/7/2016;20,43
Austria;AUT;3/7/2016;15,12
Austria;AUT;4/7/2016;31,18
Austria;AUT;5/7/2016;25,33
Austria;AUT;6/7/2016;17,76
Austria;AUT;7/7/2016;29,6
Austria;AUT;8/7/2016;28
Austria;AUT;9/7/2016;20,57
Austria;AUT;10/7/2016;15,27
Austria;AUT;11/7/2016;25,56
Austria;AUT;12/7/2016;30,12
Austria;AUT;13/7/2016;32,23
Austria;AUT;14/7/2016;24,87
Austria;AUT;15/7/2016;26,52
Austria;AUT;16/7/2016;24,6
Austria;AUT;17/7/2016;21,68
Austria;AUT;18/7/2016;30,02
Austria;AUT;19/7/2016;32,42
Austria;AUT;20/7/2016;29,38
Austria;AUT;21/7/2016;32,93
Austria;AUT;22/7/2016;32
Austria;AUT;23/7/2016;29,38
Austria;AUT;24/7/2016;27,05
Austria;AUT;25/7/2016;33,15
Austria;AUT;26/7/2016;32,95
Austria;AUT;27/7/2016;33,42
Austria;AUT;28/7/2016;31,7
Austria;AUT;29/7/2016;30,15
Austria;AUT;30/7/2016;27,53
Austria;AUT;31/7/2016;25,08
Austria;AUT;1/8/2016;29,92
Austria;AUT;2/8/2016;32,44
Austria;AUT;3/8/2016;29,08
Austria;AUT;4/8/2016;28,26
Austria;AUT;5/8/2016;31,6
Austria;AUT;6/8/2016;24,08
Austria;AUT;7/8/2016;15,09
Austria;AUT;8/8/2016;21,68
Austria;AUT;9/8/2016;28,75
Austria;AUT;10/8/2016;28,18
Austria;AUT;11/8/2016;28,83
Austria;AUT;12/8/2016;27,8
Austria;AUT;13/8/2016;18,93
Austria;AUT;14/8/2016;21,9
Austria;AUT;15/8/2016;28,07
Austria;AUT;16/8/2016;29,61
Austria;AUT;17/8/2016;29,79
Austria;AUT;18/8/2016;30,8
Austria;AUT;19/8/2016;30,62
Austria;AUT;20/8/2016;24,12
Austria;AUT;21/8/2016;15,35
Austria;AUT;22/8/2016;28,6
Austria;AUT;23/8/2016;31,55
Austria;AUT;24/8/2016;29,51
Austria;AUT;25/8/2016;28,75
Austria;AUT;26/8/2016;29,75
Austria;AUT;27/8/2016;25,98
Austria;AUT;28/8/2016;21,75
Austria;AUT;29/8/2016;29,1
Austria;AUT;30/8/2016;32,14
Austria;AUT;31/8/2016;30,6
Austria;AUT;1/9/2016;31,32
Austria;AUT;2/9/2016;30,96
Austria;AUT;3/9/2016;29,2
Austria;AUT;4/9/2016;24,14
Austria;AUT;5/9/2016;37,12
Austria;AUT;6/9/2016;32,87
Austria;AUT;7/9/2016;30,82
Austria;AUT;8/9/2016;30,94
Austria;AUT;9/9/2016;32,79
Austria;AUT;10/9/2016;27,85
Austria;AUT;11/9/2016;27,28
Austria;AUT;12/9/2016;33,29
Austria;AUT;13/9/2016;31,67
Austria;AUT;14/9/2016;29,07
Austria;AUT;15/9/2016;27,91
Austria;AUT;16/9/2016;32,98
Austria;AUT;17/9/2016;27,08
Austria;AUT;18/9/2016;24,95
Austria;AUT;19/9/2016;34,83
Austria;AUT;20/9/2016;34,56
Austria;AUT;21/9/2016;35,05
Austria;AUT;22/9/2016;32,59
Austria;AUT;23/9/2016;31,1
Austria;AUT;24/9/2016;29,17
Austria;AUT;25/9/2016;23,15
Austria;AUT;26/9/2016;37,05
Austria;AUT;27/9/2016;34,19
Austria;AUT;28/9/2016;24,22
Austria;AUT;29/9/2016;22,9
Austria;AUT;30/9/2016;34,26
Austria;AUT;1/10/2016;33,11
Austria;AUT;2/10/2016;29,91
Austria;AUT;3/10/2016;30,34
Austria;AUT;4/10/2016;30,22
Austria;AUT;5/10/2016;28,93
Austria;AUT;6/10/2016;32,23
Austria;AUT;7/10/2016;38,56
Austria;AUT;8/10/2016;35,97
Austria;AUT;9/10/2016;33,47
Austria;AUT;10/10/2016;50,23
Austria;AUT;11/10/2016;38,04
Austria;AUT;12/10/2016;36,88
Austria;AUT;13/10/2016;33,43
Austria;AUT;14/10/2016;29,2
Austria;AUT;15/10/2016;32,54
Austria;AUT;16/10/2016;33,53
Austria;AUT;17/10/2016;42,03
Austria;AUT;18/10/2016;39,9
Austria;AUT;19/10/2016;40,46
Austria;AUT;20/10/2016;40,69
Austria;AUT;21/10/2016;39,93
Austria;AUT;22/10/2016;37,45
Austria;AUT;23/10/2016;34,57
Austria;AUT;24/10/2016;42,23
Austria;AUT;25/10/2016;52,88
Austria;AUT;26/10/2016;44,95
Austria;AUT;27/10/2016;39,21
Austria;AUT;28/10/2016;36,17
Austria;AUT;29/10/2016;34,54
Austria;AUT;30/10/2016;36,8
Austria;AUT;31/10/2016;42,98
Austria;AUT;1/11/2016;34,49
Austria;AUT;2/11/2016;33,36
Austria;AUT;3/11/2016;45,49
Austria;AUT;4/11/2016;40,55
Austria;AUT;5/11/2016;38,66
Austria;AUT;6/11/2016;34,56
Austria;AUT;7/11/2016;39,13
Austria;AUT;8/11/2016;54,17
Austria;AUT;9/11/2016;48,21
Austria;AUT;10/11/2016;51,93
Austria;AUT;11/11/2016;47,79
Austria;AUT;12/11/2016;39,52
Austria;AUT;13/11/2016;37,02
Austria;AUT;14/11/2016;39,75
Austria;AUT;15/11/2016;40,37
Austria;AUT;16/11/2016;42,68
Austria;AUT;17/11/2016;32,84
Austria;AUT;18/11/2016;24,75
Austria;AUT;19/11/2016;31,55
Austria;AUT;20/11/2016;-0,32
Austria;AUT;21/11/2016;34,27
Austria;AUT;22/11/2016;38,78
Austria;AUT;23/11/2016;45,31
Austria;AUT;24/11/2016;39,83
Austria;AUT;25/11/2016;42,61
Austria;AUT;26/11/2016;38,24
Austria;AUT;27/11/2016;31,29
Austria;AUT;28/11/2016;41,19
Austria;AUT;29/11/2016;42,43
Austria;AUT;30/11/2016;35,97
Austria;AUT;1/12/2016;26,81
Austria;AUT;2/12/2016;39,67
Austria;AUT;3/12/2016;41,1
Austria;AUT;4/12/2016;38,26
Austria;AUT;5/12/2016;48,95
Austria;AUT;6/12/2016;58,13
Austria;AUT;7/12/2016;37,49
Austria;AUT;8/12/2016;30,63
Austria;AUT;9/12/2016;35,78
Austria;AUT;10/12/2016;32,39
Austria;AUT;11/12/2016;28,7
Austria;AUT;12/12/2016;47,95
Austria;AUT;13/12/2016;49,08
Austria;AUT;14/12/2016;60,14
Austria;AUT;15/12/2016;49,81
Austria;AUT;16/12/2016;53,39
Austria;AUT;17/12/2016;46,53
Austria;AUT;18/12/2016;43,86
Austria;AUT;19/12/2016;57,31
Austria;AUT;20/12/2016;48,59
Austria;AUT;21/12/2016;40,16
Austria;AUT;22/12/2016;45,01
Austria;AUT;23/12/2016;37,39
Austria;AUT;24/12/2016;7,27
Austria;AUT;25/12/2016;-1,94
Austria;AUT;26/12/2016;-12,79
Austria;AUT;27/12/2016;5,93
Austria;AUT;28/12/2016;42,16
Austria;AUT;29/12/2016;46,18
Austria;AUT;30/12/2016;42
